Country,Total Cases,Total Deaths,Population,Area,Pop. Density,Coast/Area Ratio,Net Migration,Infant Mortality,GDP,Phones per 1000,Birthrate,Deathrate
Botswana,14805,42,2375441,600370,2.7,0,0,54.58,9000,80.5,23.08,29.5
Brazil,7716405,195742,213324870,8511965,22.1,0.09,-0.03,29.61,7600,225.3,16.56,6.17
British Virgin Islands,86,1,30333,153,151,52.29,10.01,18.05,16000,506.5,14.89,4.42
Brunei,172,3,439597,5770,65.8,2.79,3.59,12.61,18600,237.2,18.79,3.45
Bulgaria,202880,7644,6921682,110910,66.6,0.32,-4.58,20.55,7600,336.3,9.65,14.27
Burkina Faso,6940,86,21189064,274200,50.7,0,0,97.57,1100,7,45.62,15.6
Burundi,822,2,12067014,27830,290.7,0,-0.06,69.29,600,3.4,42.22,13.46
Cambodia,381,0,16835594,181040,76.7,0.24,0,71.48,1900,2.6,26.9,09.06
Cameroon,26848,448,26876017,475440,36.5,0.08,0,68.26,1800,5.7,33.89,13.47
Canada,590280,15715,37909593,9984670,3.3,02.02,5.96,4.75,29800,552.2,10.78,7.8
Cape Verde,11883,113,559038,4033,104.4,23.93,-12.07,47.77,1400,169.6,24.87,6.55
Cayman Islands,338,2,66112,262,173.4,61.07,18.75,8.19,35000,836.3,12.74,4.89
Central African Republic,4963,63,4871977,622984,6.9,0,0,91,1100,2.3,33.91,18.65
Chad,2169,104,16660626,1284000,7.7,0,-0.11,93.82,1200,1.3,45.73,16.38
Channel Islands,3059,60,174674,116,785.2,60.34,2.76,5.24,24800,811.3,9.3,9.28
Chile,618191,16767,19199240,756950,21.3,0.85,0,8.8,9900,213,15.23,5.81
China,87117,4634,1439323776,9596960,136.9,0.15,-0.4,24.18,5000,266.7,13.25,6.97
Colombia,1666408,43765,51156922,1138910,38.3,0.28,-0.31,20.97,6300,176.2,20.48,5.58
Comoros,864,13,878883,2170,318.4,15.67,0,74.93,700,24.5,36.93,8.2
Congo,7107,108,5585964,2345410,26.7,0,0,94.69,700,0.2,43.69,13.27
Costa Rica,169321,2185,5117649,51100,79.8,2.52,0.51,9.95,9100,340.7,18.32,4.36
Croatia,212958,4072,4092325,56542,79.5,10.32,1.58,6.84,10600,420.4,9.61,11.48
Cuba,12225,146,11323095,110860,102.7,3.37,-1.58,6.33,2900,74.7,11.89,7.22
Curacao,4294,16,164434,960,231,37.92,-0.41,10.03,11400,365.3,14.78,6.45
Czech Republic,740481,11960,10719083,78866,129.8,0,0.97,3.93,15700,314.3,09.02,10.59
Denmark,168711,1374,5802562,43094,126.5,16.97,2.48,4.56,31100,614.6,11.13,10.36
Djibouti,5841,61,995238,23000,21.2,1.37,0,104.13,1300,22.8,39.53,19.31
Dominica,88,0,72077,754,91.4,19.63,-13.87,14.15,5400,304.8,15.27,6.73
Dominican Republic,173331,2418,10902901,48730,188.5,2.64,-3.22,32.38,6000,97.4,23.22,5.73
Ecuador,214513,14059,17777953,283560,47.8,0.79,-8.58,23.66,3300,125.6,22.29,4.23
Egypt,140878,7741,103303471,1001450,78.8,0.24,-0.22,32.59,4000,131.8,22.94,5.23
El Salvador,46803,1358,6502809,21040,324.3,1.46,-3.74,25.1,4800,142.4,26.61,5.78
Equatorial Guinea,5277,86,1425863,28051,19.3,01.06,0,85.13,2700,18.5,35.59,15.06
Eritrea,1320,3,3571162,121320,39.5,1.84,0,74.87,700,7.9,34.33,9.6
Estonia,29131,244,1326989,45226,29.3,8.39,-3.16,7.87,12300,333.8,10.04,13.25
Eswatini,9711,227,1166235,17363,65.5,0,0,69.27,4900,30.8,27.41,29.74
Ethiopia,125049,1944,116386530,1127127,66.3,0,0,95.32,700,8.2,37.98,14.86
